FECHA,MES,DESCRIPCIÓN,MONTO,CATEGORIA,M. DE PAGO,,,INGRESOS HANDBALL 2024,,,,,,,,,,,,
15/2/2024,febrero,Cuota,"$7,200.00 ",Mayores,Transferencia,,,,,,,,,,,,,,,
15/2/2024,febrero,Cuota,"$7,200.00 ",Infantil,Transferencia,,,,,,,,,,,,,,,
15/2/2024,febrero,Cuota,"$7,200.00 ",Cadetes,Transferencia,,,,,,,,,,,,,,,
15/2/2024,febrero,Cuota,"$6,120.00 ",Infantil,Transferencia,,,,,,,,,,,,,,,
15/2/2024,febrero,Cuota,"$6,120.00 ",Cadetes,Transferencia,,,,,,,,,,,,,,,
15/2/2024,febrero,Cuota,"$6,120.00 ",Juvenil,Transferencia,,,,,,,,,,,,,,,
15/2/2024,febrero,Cuota,"$7,200.00 ",Mayores,Transferencia,,,,,,,,,,,,,,,
15/2/2024,febrero,Cuota,"$7,200.00 ",Menor,Transferencia,,,,,,,,,,,,,,,
15/2/2024,febrero,Cuota,"$7,200.00 ",Mayores,Transferencia,,,,,,,,,,,,,,,
15/2/2024,febrero,Cuota,"$7,200.00 ",Juvenil,Transferencia,,,,,,,,,,,,,,,
15/2/2024,febrero,Cuota,"$7,200.00 ",Juvenil,Transferencia,,,,,,,,,,,,,,,
15/2/2024,febrero,Cuota,"$7,200.00 ",Menor,Transferencia,,,,,,,,,,,,,,,
15/2/2024,febrero,Cuota,"$7,200.00 ",Infantil,Transferencia,,,,,,,,,,,,,,,
15/2/2024,febrero,Cuota,"$7,200.00 ",Menores,Transferencia,,,,,,,,,,,,,,,
15/2/2024,febrero,Cuota,"$7,200.00 ",Cadete,Transferencia,,,,,,,,,,,,,,,
15/2/2024,febrero,Cuota,"$7,200.00 ",Menor,Transferencia,,,,,,,,,,,,,,,
15/2/2024,febrero,Cuota,"$6,480.00 ",Mayores,Transferencia,,,,,,,,,,,,,,,
15/2/2024,febrero,Cuota,"$7,200.00 ",Mini,Transferencia,,,,,,,,,,,,,,,
15/2/2024,febrero,Cuota,"$7,200.00 ",Mayores,Transferencia,,,,,,,,,,,,,,,
15/2/2024,febrero,Cuota,"$6,480.00 ",Infantil,Transferencia,,,,,,,,,,,,,,,
15/2/2024,febrero,Cuota,"$6,480.00 ",Mini,Transferencia,,,,,,,,,,,,,,,
15/2/2024,febrero,Cuota,"$7,200.00 ",Menor,Transferencia,,,,,,,,,,,,,,,
15/2/2024,febrero,Cuota,"$7,200.00 ",Infantil,Transferencia,,,,,,,,,,,,,,,
16/2/2024,febrero,Cuota,"$7,200.00 ",Cadete,Transferencia,,,,,,,,,,,,,,,
1/2/2024,febrero,Cambio divisas ahorros,"$120,000.00 ",No procede,Transferencia,,,,,,,,,,,,,,,
16/2/2024,febrero,Cuota,"$8,000.00 ",Juvenil,Efectivo,,,,,,,,,,,,,,,
16/2/2024,febrero,Cuota,"$9,000.00 ",Mayor,Transferencia,,,,,,,,,,,,,,,
20/2/2024,febrero,Cuota adeudada,"$8,000.00 ",Menores,Transferencia,,,,,,,,,,,,,,,
20/2/2024,febrero,Cuota adeudada,"$4,500.00 ",Mayores,Transferencia,,,,,,,,,,,,,,,
20/2/2024,febrero,Cuota,"$7,200.00 ",Menores,Transferencia,,,,,,,,,,,,,,,
20/2/2024,febrero,Cuota,"$7,200.00 ",Menores,Transferencia,,,,,,,,,,,,,,,
20/2/2024,febrero,Cuota,"$7,200.00 ",Menores,Transferencia,,,,,,,,,,,,,,,
21/2/2024,febrero,Cuota,"$7,200.00 ",Cadetes,Transferencia,,,,,,,,,,,,,,,
21/2/2024,febrero,Cuota,"$9,000.00 ",Mayores,Transferencia,,,,,,,,,,,,,,,
29/2/2024,febrero,Cuota,"$4,500.00 ",Juvenil,Transferencia,,,,,,,,,,,,,,,
5/2/2024,febrero,Cuota,"$7,200.00 ",Menores,Transferencia,"$568,360.00 ",,,,,,,,,,,,,,
4/3/2024,marzo,Cuota,"$7,200.00 ",Menores,Transferencia,,,,,,,,,,,,,,,
5/3/2024,marzo,Cuota,"$7,200.00 ",Mayores,Transferencia,,,,,,,,,,,,,,,
5/3/2024,marzo,Cuota,"$14,400.00 ",MINI,Transferencia,,,,,,,,,,,,,,,
5/3/2024,marzo,Cuota,"$7,200.00 ",Menores,Transferencia,,,,,,,,,,,,,,,
5/3/2024,marzo,Cuota,"$7,200.00 ",Cadetes,Transferencia,,,,,,,,,,,,,,,
5/2/2024,marzo,Cuota,"$7,650.00 ",Mini,Transferencia,,,,,,,,,,,,,,,
5/2/2024,marzo,Cuota,"$7,650.00 ",Infantil,Transferencia,,,,,,,,,,,,,,,
5/3/2024,marzo,Cuota,"$7,650.00 ",Menores,Transferencia,,,,,,,,,,,,,,,
5/3/2024,marzo,Cuota,"$7,200.00 ",Infantil,Transferencia,,,,,,,,,,,,,,,
5/3/2024,marzo,Cuota,"$7,200.00 ",Juvenil,Transferencia,,,,,,,,,,,,,,,
6/3/2024,marzo,Cuota,"$7,200.00 ",Mayores,Transferencia,,,,,,,,,,,,,,,
6/3/2024,marzo,Cuota,"$7,200.00 ",Menores,Transferencia,,,,,,,,,,,,,,,
6/3/2024,marzo,Cuota,"$4,320.00 ",Cadeta,Transferencia,,,,,,,,,,,,,,,
6/3/2024,marzo,Cuota,"$4,320.00 ",Mini,Transferencia,,,,,,,,,,,,,,,
6/3/2024,marzo,Cuota,"$7,200.00 ",Mayores,Transferencia,,,,,,,,,,,,,,,
6/3/2024,marzo,Cuota,"$7,200.00 ",Menores,Transferencia,,,,,,,,,,,,,,,
6/3/2024,marzo,Cuota,"$7,200.00 ",Mayores,Transferencia,,,,,,,,,,,,,,,
6/3/2024,marzo,Cuota,"$7,200.00 ",Mayores,Transferencia,,,,,,,,,,,,,,,
6/3/2024,marzo,Cuota,"$4,000.00 ",Mayores,Transferencia,,,,,,,,,,,,,,,
6/3/2024,marzo,Cuota,"$7,200.00 ",Juvenil,Transferencia,,,,,,,,,,,,,,,
6/3/2024,marzo,Cuota,"$7,200.00 ",Cadete,Transferencia,,,,,,,,,,,,,,,
6/3/2024,marzo,Cuota,"$7,200.00 ",Infantil,Transferencia,,,,,,,,,,,,,,,
6/3/2024,marzo,Cuota,"$7,200.00 ",Menores,Transferencia,,,,,,,,,,,,,,,
6/3/2024,marzo,Cuota,"$7,200.00 ",Cadeta,Transferencia,,,,,,,,,,,,,,,
7/3/2024,marzo,Cuota,"$7,200.00 ",Menores,Transferencia,,,,,,,,,,,,,,,
7/3/2024,marzo,Cuota,"$7,200.00 ",Mayores,Transferencia,,,,,,,,,,,,,,,
8/3/2024,marzo,Cuota,"$7,200.00 ",Mini,Transferencia,,,,,,,,,,,,,,,
8/3/2024,marzo,Cuota,"$7,200.00 ",Mini,Transferencia,,,,,,,,,,,,,,,
8/3/2024,marzo,Cuota,"$7,200.00 ",Mayores,Transferencia,,,,,,,,,,,,,,,
8/3/2024,marzo,Cuota,"$7,200.00 ",Mayores,Transferencia,,,,,,,,,,,,,,,
8/3/2024,marzo,Cuota,"$7,200.00 ",Cadetes,Transferencia,,,,,,,,,,,,,,,
8/3/2024,marzo,Cuota,"$3,600.00 ",Mayores,Transferencia,,,,,,,,,,,,,,,
8/3/2024,marzo,Cuota,"$7,200.00 ",Cadeta,Transferencia,,,,,,,,,,,,,,,
8/3/2024,marzo,Cuota,"$6,120.00 ",Juvenil,Transferencia,,,,,,,,,,,,,,,
8/3/2024,marzo,Cuota,"$6,120.00 ",Cadete,Transferencia,,,,,,,,,,,,,,,
8/3/2024,marzo,Cuota,"$6,120.00 ",Infantil,Transferencia,,,,,,,,,,,,,,,
8/3/2024,marzo,Cuota,"$7,200.00 ",Menores,Transferencia,,,,,,,,,,,,,,,
8/3/2024,marzo,Cuota,"$6,130.00 ",Menores,Transferencia,,,,,,,,,,,,,,,
8/3/2024,marzo,Cuota,"$6,140.00 ",Infantil,Transferencia,,,,,,,,,,,,,,,
8/3/2024,marzo,Cuota,"$6,130.00 ",Infantil,Transferencia,,,,,,,,,,,,,,,
8/3/2024,marzo,Cuota,"$7,200.00 ",Mayores,Transferencia,,,,,,,,,,,,,,,
9/3/2024,marzo,Cuota,"$7,200.00 ",Juvenil,Transferencia,,,,,,,,,,,,,,,
9/3/2024,marzo,Cuota,"$7,200.00 ",Infantil,Transferencia,,,,,,,,,,,,,,,
9/3/2024,marzo,Cuota,"$7,200.00 ",Mayores,Transferencia,,,,,,,,,,,,,,,
9/3/2024,marzo,Cuota,"$7,200.00 ",Cadetes,Transferencia,,,,,,,,,,,,,,,
9/3/2024,marzo,Cuota,"$7,200.00 ",Cadetes,Transferencia,,,,,,,,,,,,,,,
9/3/2024,marzo,Cuota,"$8,000.00 ",Menores,Efectivo,,,,,,,,,,,,,,,
11/3/2024,marzo,Cuota,"$7,200.00 ",Mayores,Transferencia,,,,,,,,,,,,,,,
11/3/2024,marzo,Cuota,"$7,200.00 ",Mayores,Transferencia,,,,,,,,,,,,,,,
11/3/2024,marzo,Cuota,"$3,600.00 ",Menores,Transferencia,,,,,,,,,,,,,,,
11/3/2024,marzo,Cuota,"$3,600.00 ",Juvenil,Transferencia,,,,,,,,,,,,,,,
11/3/2024,marzo,Cuota,"$6,480.00 ",Cadetes,Transferencia,,,,,,,,,,,,,,,
11/3/2024,marzo,Cuota,"$6,480.00 ",Mini,Transferencia,,,,,,,,,,,,,,,
11/3/2024,marzo,Cuota,"$7,200.00 ",Mayores,Transferencia,,,,,,,,,,,,,,,
11/3/2024,marzo,Cuota,"$7,200.00 ",Mayores,Transferencia,,,,,,,,,,,,,,,
11/3/2024,marzo,Cuota,"$7,200.00 ",Cadetes,Transferencia,,,,,,,,,,,,,,,
12/3/2024,marzo,Cuota,"$7,200.00 ",Cadetes,Transferencia,,,,,,,,,,,,,,,
12/3/2024,marzo,Cuota,"$7,200.00 ",Mayores,Transferencia,,,,,,,,,,,,,,,
12/3/2024,marzo,Cuota,"$4,000.00 ",Menores,Transferencia,,,,,,,,,,,,,,,
12/3/2024,marzo,Cuota,"$7,200.00 ",Juvenil,Transferencia,,,,,,,,,,,,,,,
12/3/2024,marzo,Cuota,"$7,200.00 ",Mayores,Transferencia,,,,,,,,,,,,,,,
12/3/2024,marzo,Cuota,"$7,200.00 ",Mayores,Transferencia,,,,,,,,,,,,,,,
12/3/2024,marzo,Cuota,"$7,200.00 ",Infantil,Transferencia,,,,,,,,,,,,,,,
12/3/2024,marzo,Cuota,"$7,200.00 ",Infantil,Transferencia,,,,,,,,,,,,,,,
12/3/2024,marzo,Cuota,"$7,200.00 ",Menores,Transferencia,,,,,,,,,,,,,,,
13/3/2024,marzo,Cuota,"$7,200.00 ",Juvenil,Transferencia,,,,,,,,,,,,,,,
13/3/2024,marzo,Cuota,"$7,200.00 ",Menores,Transferencia,,,,,,,,,,,,,,,
13/3/2024,marzo,Cuota,"$7,200.00 ",Menores,Transferencia,,,,,,,,,,,,,,,
13/3/2024,marzo,Cuota,"$7,200.00 ",Mayores,Transferencia,,,,,,,,,,,,,,,
13/3/2024,marzo,Cuota,"$7,200.00 ",Menores,Transferencia,,,,,,,,,,,,,,,
13/3/2024,marzo,Cuota,"$7,200.00 ",Menores,Transferencia,,,,,,,,,,,,,,,
13/3/2024,marzo,Cuota,"$6,390.00 ",Mini,Transferencia,,,,,,,,,,,,,,,
13/3/2024,marzo,Cuota,"$6,390.00 ",Menores,Transferencia,,,,,,,,,,,,,,,
14/3/2024,marzo,Cuota,"$7,200.00 ",Juvenil,Transferencia,,,,,,,,,,,,,,,
14/3/2024,marzo,Cuota,"$6,480.00 ",Mayores,Transferencia,,,,,,,,,,,,,,,
14/3/2024,marzo,Cuota,"$3,600.00 ",Menores,Transferencia,,,,,,,,,,,,,,,
14/3/2024,marzo,Cuota,"$2,500.00 ",Menores,Transferencia,,,,,,,,,,,,,,,
14/3/2024,marzo,Cuota,"$7,200.00 ",Mayores,Transferencia,,,,,,,,,,,,,,,
14/3/2024,marzo,Cuota,"$3,960.00 ",Mini,Transferencia,,,,,,,,,,,,,,,
14/3/2024,marzo,Cuota,"$7,200.00 ",Menores,Transferencia,,,,,,,,,,,,,,,
15/3/2024,marzo,Cuota,"$7,200.00 ",Mayores,Transferencia,,,,,,,,,,,,,,,
15/3/2024,marzo,Cuota,"$7,200.00 ",Mayores,Transferencia,,,,,,,,,,,,,,,
15/3/2024,marzo,Cuota,"$7,200.00 ",Mayores,Transferencia,,,,,,,,,,,,,,,
15/3/2024,marzo,Cuota,"$6,480.00 ",Infantil,Transferencia,,,,,,,,,,,,,,,
15/3/2024,marzo,Cuota,"$6,480.00 ",Mini,Transferencia,,,,,,,,,,,,,,,
15/3/2024,marzo,Cuota,"$7,200.00 ",Infantil,Transferencia,,,,,,,,,,,,,,,
15/3/2024,marzo,Cuota,"$7,200.00 ",Mayores,Transferencia,,,,,,,,,,,,,,,
15/3/2024,marzo,Cuota,"$5,760.00 ",Mini,Transferencia,,,,,,,,,,,,,,,
15/3/2024,marzo,Cuota,"$7,200.00 ",Mayores,Transferencia,,,,,,,,,,,,,,,
15/3/2024,marzo,Cuota,"$7,200.00 ",Cadete,Transferencia,,,,,,,,,,,,,,,
15/3/2024,marzo,Cuota,"$7,200.00 ",Mayores,Transferencia,,,,,,,,,,,,,,,
15/3/2024,marzo,Cuota,"$7,200.00 ",Mayores,Transferencia,,,,,,,,,,,,,,,
18/3/2024,marzo,Cuota,"$6,120.00 ",Cadete,Transferencia,,,,,,,,,,,,,,,
18/3/2024,marzo,Cuota,"$6,120.00 ",Cadete,Transferencia,,,,,,,,,,,,,,,
18/3/2024,marzo,Cuota,"$6,120.00 ",Infantil,Transferencia,,,,,,,,,,,,,,,
18/3/2024,marzo,Cuota,"$4,500.00 ",Infantil,Transferencia,,,,,,,,,,,,,,,
19/3/2024,marzo,Cuota,"$7,200.00 ",Mayores,Transferencia,,,,,,,,,,,,,,,
20/3/2024,marzo,Cuota,"$7,200.00 ",Mayores,Transferencia,,,,,,,,,,,,,,,
22/3/2024,marzo,Cuota,"$9,000.00 ",Mayores,Transferencia,,,,,,,,,,,,,,,
22/3/2024,marzo,Cuota,"$9,000.00 ",Menores,Transferencia,,,,,,,,,,,,,,,
22/3/2024,marzo,Cuota,"$7,200.00 ",Menores,Transferencia,,,,,,,,,,,,,,,
22/3/2024,marzo,Cuota,"$9,000.00 ",Mini,Transferencia,,,,,,,,,,,,,,,
22/3/2024,marzo,Cuota,"$4,500.00 ",Menores,Transferencia,,,,,,,,,,,,,,,
27/3/2024,marzo,Cuota,"$9,000.00 ",Mini,Transferencia,,,,,,,,,,,,,,,
27/3/2024,marzo,Cuota,"$4,500.00 ",Infantil,Transferencia,,,,,,,,,,,,,,,
27/3/2024,marzo,Cuota,"$14,400.00 ",Mayores,Transferencia,,,,,,,,,,,,,,,
27/3/2024,marzo,Cuota,"$14,400.00 ",Mayores,Transferencia,,,,,,,,,,,,,,,
27/3/2024,marzo,Locacion,"$15,000.00 ",Administracion,Transferencia,,,,,,,,,,,,,,,
28/3/2024,marzo,Cuota,"$8,000.00 ",Cadete,Efectivo,,,,,,,,,,,,,,,
8/3/2024,marzo,Cuota,"$7,200.00 ",Menores,Transferencia,,,,,,,,,,,,,,,
8/3/2024,marzo,Cuota,"$7,200.00 ",Menores,Transferencia,"$776,930.00 ",,,,,,,,,,,,,,
3/4/2024,abril,Cuota,"$7,200.00 ",Menores,Transferencia,,,,,,,,,,,,,,,
3/4/2024,abril,Cuota,"$7,200.00 ",Mayores,Transferencia,,,,,,,,,,,,,,,
3/4/2024,abril,Cuota,"$7,250.00 ",Menores,Transferencia,,,,,,,,,,,,,,,
3/4/2024,abril,Cuota,"$7,250.00 ",Cadetes,Transferencia,,,,,,,,,,,,,,,
3/4/2024,abril,Cuota,"$16,200.00 ",Juvenil,Transferencia,,,,,,,,,,,,,,,
4/4/2024,abril,Cuota,"$7,200.00 ",Menores,Transferencia,,,,,,,,,,,,,,,
4/4/2024,abril,Cuota,"$7,200.00 ",Mayores,Transferencia,,,,,,,,,,,,,,,
4/4/2024,abril,Cuota,"$7,200.00 ",Mayores,Transferencia,,,,,,,,,,,,,,,
4/4/2024,abril,Cuota,"$7,200.00 ",Mini,Transferencia,,,,,,,,,,,,,,,
5/4/2024,abril,Cuota,"$7,200.00 ",Mayores,Transferencia,,,,,,,,,,,,,,,
5/4/2024,abril,Cuota,"$7,200.00 ",Mayores,Transferencia,,,,,,,,,,,,,,,
5/4/2024,abril,Cuota,"$7,200.00 ",Cadetes,Transferencia,,,,,,,,,,,,,,,
5/4/2024,abril,Cuota,"$7,200.00 ",Infantil,Transferencia,,,,,,,,,,,,,,,
5/4/2024,abril,Cuota,"$4,000.00 ",Infantil,Transferencia,,,,,,,,,,,,,,,
5/4/2024,abril,Cuota,"$4,000.00 ",Menores,Transferencia,,,,,,,,,,,,,,,
5/4/2024,abril,Cuota,"$4,000.00 ",Cadeta,Transferencia,,,,,,,,,,,,,,,
5/4/2024,abril,Cuota,"$6,500.00 ",Cadete,Transferencia,,,,,,,,,,,,,,,
5/4/2024,abril,Cuota,"$6,500.00 ",Infantil,Transferencia,,,,,,,,,,,,,,,
6/4/2024,abril,Cuota,"$7,200.00 ",Mini,Transferencia,,,,,,,,,,,,,,,
6/4/2024,abril,Cuota,"$7,200.00 ",Menores,Transferencia,,,,,,,,,,,,,,,
8/4/2024,abril,Cuota,"$7,200.00 ",Cadetes,Transferencia,,,,,,,,,,,,,,,
8/4/2024,abril,Cuota,"$7,200.00 ",Cadetes,Transferencia,,,,,,,,,,,,,,,
8/4/2024,abril,Cuota,"$7,200.00 ",Mayores,Transferencia,,,,,,,,,,,,,,,
8/4/2024,abril,Cuota,"$7,200.00 ",Juvenil,Transferencia,,,,,,,,,,,,,,,
8/4/2024,abril,Cuota,"$7,200.00 ",Menores,Transferencia,,,,,,,,,,,,,,,
8/4/2024,abril,Cuota,"$7,200.00 ",Mayores,Transferencia,,,,,,,,,,,,,,,
8/4/2024,abril,Cuota,"$7,200.00 ",Menores,Transferencia,,,,,,,,,,,,,,,
8/4/2024,abril,Cuota,"$9,000.00 ",Menores,Transferencia,,,,,,,,,,,,,,,
9/4/2024,abril,Cuota,"$7,200.00 ",Juvenil,Transferencia,,,,,,,,,,,,,,,
9/4/2024,abril,Cuota,"$7,200.00 ",Mayores,Transferencia,,,,,,,,,,,,,,,
9/4/2024,abril,Cuota,"$6,480.00 ",Cadete,Transferencia,,,,,,,,,,,,,,,
9/4/2024,abril,Cuota,"$6,480.00 ",Infantil,Transferencia,,,,,,,,,,,,,,,
9/4/2024,abril,Cuota,"$7,200.00 ",Infantil,Transferencia,,,,,,,,,,,,,,,
9/4/2024,abril,Cuota,"$7,200.00 ",Juvenil,Transferencia,,,,,,,,,,,,,,,
9/4/2024,abril,Cuota,"$7,200.00 ",Juvenil,Transferencia,,,,,,,,,,,,,,,
9/4/2024,abril,Cuota,"$6,480.00 ",Cadete,Transferencia,,,,,,,,,,,,,,,
9/4/2024,abril,Cuota,"$6,480.00 ",Infantil,Transferencia,,,,,,,,,,,,,,,
9/4/2024,abril,Cuota,"$7,200.00 ",Cadetes,Transferencia,,,,,,,,,,,,,,,
9/4/2024,abril,Cuota,"$7,200.00 ",Juvenil,Transferencia,,,,,,,,,,,,,,,
9/4/2024,abril,Cuota,"$6,480.00 ",Cadetes,Transferencia,,,,,,,,,,,,,,,
9/4/2024,abril,Cuota,"$6,480.00 ",Mini,Transferencia,,,,,,,,,,,,,,,
9/4/2024,abril,Cuota,"$7,200.00 ",Juvenil,Transferencia,,,,,,,,,,,,,,,
9/4/2024,abril,Cuota,"$7,200.00 ",Cadetes,Transferencia,,,,,,,,,,,,,,,
9/4/2024,abril,Cuota,"$7,200.00 ",Mayores,Transferencia,,,,,,,,,,,,,,,
9/4/2024,abril,Cuota,"$6,500.00 ",Juvenil,Transferencia,,,,,,,,,,,,,,,
9/4/2024,abril,Cuota,"$6,500.00 ",Infantil,Transferencia,,,,,,,,,,,,,,,
9/4/2024,abril,Cuota,"$7,200.00 ",Mayores,Transferencia,,,,,,,,,,,,,,,
9/4/2024,abril,Cuota adeudada,"$9,000.00 ",Mayores,Transferencia,,,,,,,,,,,,,,,
9/4/2024,abril,Cuota,"$6,120.00 ",Juvenil,Transferencia,,,,,,,,,,,,,,,
9/4/2024,abril,Cuota,"$6,120.00 ",Cadete,Transferencia,,,,,,,,,,,,,,,
9/4/2024,abril,Cuota,"$6,120.00 ",MIni,Transferencia,,,,,,,,,,,,,,,
10/4/2024,abril,Cuota,"$6,390.00 ",Mini,Transferencia,,,,,,,,,,,,,,,
10/4/2024,abril,Cuota,"$6,390.00 ",Menores,Transferencia,,,,,,,,,,,,,,,
10/4/2024,abril,Cuota,"$7,200.00 ",Menores,Transferencia,,,,,,,,,,,,,,,
10/4/2024,abril,Cuota,"$3,000.00 ",Mayores,Transferencia,,,,,,,,,,,,,,,
10/4/2024,abril,Cuota,"$3,600.00 ",Cadetas,Transferencia,,,,,,,,,,,,,,,
11/4/2024,abril,Cuota,"$7,200.00 ",Mayores,Transferencia,,,,,,,,,,,,,,,
11/4/2024,abril,Cuota,"$7,200.00 ",Mini,Transferencia,,,,,,,,,,,,,,,
11/4/2024,abril,Cuota,"$3,600.00 ",Mayores,Transferencia,,,,,,,,,,,,,,,
11/4/2024,abril,Cuota,"$7,200.00 ",Menores,Transferencia,,,,,,,,,,,,,,,
11/4/2024,abril,Cuota,"$7,200.00 ",Mayores,Transferencia,,,,,,,,,,,,,,,
11/4/2024,abril,Cuota,"$7,200.00 ",Cadetes,Transferencia,,,,,,,,,,,,,,,
11/4/2024,abril,Cuota,"$7,200.00 ",Menores,Transferencia,,,,,,,,,,,,,,,
12/4/2024,abril,Cuota,"$7,200.00 ",Cadete,Transferencia,,,,,,,,,,,,,,,
12/4/2024,abril,Cuota,"$7,200.00 ",Menores,Transferencia,,,,,,,,,,,,,,,
12/4/2024,abril,Cuota,"$7,200.00 ",Mayores,Transferencia,,,,,,,,,,,,,,,
12/4/2024,abril,Cuota,"$7,200.00 ",Mayores,Transferencia,,,,,,,,,,,,,,,
12/4/2024,abril,Cuota,"$7,200.00 ",Menores,Transferencia,,,,,,,,,,,,,,,
12/4/2024,abril,Cuota,"$7,200.00 ",Menores,Transferencia,,,,,,,,,,,,,,,
12/4/2024,abril,Cuota,"$7,200.00 ",Mayores,Transferencia,,,,,,,,,,,,,,,
12/4/2024,abril,Cuota,"$7,200.00 ",Mayores,Transferencia,,,,,,,,,,,,,,,
12/4/2024,abril,Cuota adeudada,"$4,220.00 ",Cadetes,Transferencia,,,,,,,,,,,,,,,
12/4/2024,abril,Cuota,"$7,200.00 ",Menores,Transferencia,,,,,,,,,,,,,,,
12/4/2024,abril,Cuota,"$7,200.00 ",Mayores,Transferencia,,,,,,,,,,,,,,,
12/4/2024,abril,Cuota,"$9,000.00 ",Mayores,Transferencia,,,,,,,,,,,,,,,
12/4/2024,abril,Cuota,"$7,200.00 ",Menores,Transferencia,,,,,,,,,,,,,,,
12/4/2024,abril,Cuota,"$7,200.00 ",Infantil,Transferencia,,,,,,,,,,,,,,,
12/4/2024,abril,Cuota,"$7,200.00 ",Cadetes,Transferencia,,,,,,,,,,,,,,,
13/4/2024,abril,Cuota,"$7,500.00 ",Mayores,Transferencia,,,,,,,,,,,,,,,
13/4/2024,abril,Cuota,"$7,200.00 ",Mayores,Transferencia,,,,,,,,,,,,,,,
15/4/2024,abril,Cuota,"$6,120.00 ",Menores,Transferencia,,,,,,,,,,,,,,,
15/4/2024,abril,Cuota,"$6,120.00 ",Mini,Transferencia,,,,,,,,,,,,,,,
15/4/2024,abril,Cuota,"$6,120.00 ",Mini,Transferencia,,,,,,,,,,,,,,,
15/4/2024,abril,Cuota,"$7,200.00 ",Menores,Transferencia,,,,,,,,,,,,,,,
15/4/2024,abril,Cuota,"$7,200.00 ",Mayores,Transferencia,,,,,,,,,,,,,,,
15/4/2024,abril,Cuota,"$6,120.00 ",Infantil,Transferencia,,,,,,,,,,,,,,,
15/4/2024,abril,Cuota,"$6,120.00 ",Mini,Transferencia,,,,,,,,,,,,,,,
15/4/2024,abril,Cuota,"$6,120.00 ",Mini,Transferencia,,,,,,,,,,,,,,,
15/4/2024,abril,Cuota,"$7,500.00 ",Mayores,Transferencia,,,,,,,,,,,,,,,
15/4/2024,abril,Cuota,"$7,200.00 ",Juvenil,Transferencia,,,,,,,,,,,,,,,
15/4/2024,abril,Cuota,"$6,133.33 ",Menores,Transferencia,,,,,,,,,,,,,,,
